Game,Team,Cum_WL
1,ARI,1
2,ARI,1
3,ARI,1
4,ARI,1
5,ARI,1
6,ARI,2
7,ARI,2
8,ARI,3
9,ARI,3
10,ARI,3
11,ARI,3
12,ARI,4
13,ARI,5
14,ARI,5
15,ARI,6
16,ARI,6
17,ARI,6
18,ARI,7
19,ARI,8
20,ARI,8
21,ARI,9
22,ARI,10
23,ARI,10
24,ARI,11
25,ARI,12
26,ARI,13
27,ARI,14
28,ARI,14
29,ARI,15
30,ARI,16
31,ARI,17
32,ARI,17
33,ARI,18
34,ARI,18
35,ARI,18
36,ARI,18
37,ARI,18
38,ARI,18
39,ARI,18
40,ARI,19
41,ARI,20
42,ARI,21
43,ARI,21
44,ARI,22
45,ARI,23
46,ARI,23
47,ARI,23
48,ARI,23
49,ARI,23
50,ARI,24
51,ARI,25
52,ARI,25
53,ARI,26
54,ARI,26
55,ARI,26
56,ARI,26
57,ARI,26
58,ARI,27
59,ARI,28
60,ARI,28
61,ARI,28
62,ARI,29
63,ARI,29
64,ARI,29
65,ARI,30
66,ARI,31
67,ARI,31
68,ARI,32
69,ARI,32
70,ARI,32
71,ARI,32
72,ARI,32
73,ARI,32
74,ARI,33
75,ARI,34
76,ARI,34
77,ARI,35
78,ARI,35
79,ARI,35
80,ARI,36
81,ARI,37
82,ARI,37
83,ARI,37
84,ARI,37
85,ARI,38
86,ARI,38
87,ARI,39
88,ARI,39
89,ARI,39
90,ARI,39
91,ARI,39
92,ARI,40
93,ARI,41
94,ARI,42
95,ARI,42
96,ARI,43
97,ARI,44
98,ARI,45
99,ARI,45
100,ARI,45
101,ARI,45
102,ARI,45
103,ARI,46
104,ARI,46
105,ARI,47
106,ARI,47
107,ARI,48
108,ARI,49
109,ARI,50
110,ARI,50
111,ARI,51
112,ARI,51
113,ARI,52
114,ARI,53
115,ARI,53
116,ARI,53
117,ARI,54
118,ARI,55
119,ARI,55
120,ARI,55
121,ARI,55
122,ARI,56
123,ARI,56
124,ARI,57
125,ARI,58
126,ARI,59
127,ARI,60
128,ARI,61
129,ARI,61
130,ARI,62
131,ARI,63
132,ARI,63
133,ARI,64
134,ARI,65
135,ARI,65
136,ARI,65
137,ARI,65
138,ARI,65
139,ARI,66
140,ARI,66
141,ARI,66
142,ARI,67
143,ARI,68
144,ARI,68
145,ARI,68
146,ARI,68
147,ARI,68
148,ARI,68
149,ARI,69
150,ARI,70
151,ARI,70
152,ARI,70
153,ARI,71
154,ARI,71
155,ARI,71
156,ARI,72
157,ARI,72
158,ARI,73
159,ARI,73
160,ARI,73
161,ARI,73
162,ARI,74
1,ATL,0
2,ATL,1
3,ATL,2
4,ATL,2
5,ATL,2
6,ATL,3
7,ATL,3
8,ATL,3
9,ATL,4
10,ATL,5
11,ATL,5
12,ATL,5
13,ATL,6
14,ATL,6
15,ATL,7
16,ATL,7
17,ATL,7
18,ATL,8
19,ATL,8
20,ATL,9
21,ATL,10
22,ATL,10
23,ATL,10
24,ATL,11
25,ATL,11
26,ATL,11
27,ATL,12
28,ATL,12
29,ATL,13
30,ATL,14
31,ATL,14
32,ATL,15
33,ATL,15
34,ATL,16
35,ATL,16
36,ATL,16
37,ATL,17
38,ATL,17
39,ATL,18
40,ATL,19
41,ATL,19
42,ATL,19
43,ATL,20
44,ATL,21
45,ATL,21
46,ATL,22
47,ATL,22
48,ATL,23
49,ATL,23
50,ATL,23
51,ATL,24
52,ATL,25
53,ATL,26
54,ATL,27
55,ATL,28
56,ATL,29
57,ATL,30
58,ATL,31
59,ATL,32
60,ATL,33
61,ATL,34
62,ATL,35
63,ATL,36
64,ATL,37
65,ATL,37
66,ATL,37
67,ATL,38
68,ATL,39
69,ATL,39
70,ATL,40
71,ATL,41
72,ATL,41
73,ATL,42
74,ATL,42
75,ATL,43
76,ATL,44
77,ATL,44
78,ATL,45
79,ATL,46
80,ATL,46
81,ATL,47
82,ATL,48
83,ATL,49
84,ATL,49
85,ATL,50
86,ATL,51
87,ATL,52
88,ATL,52
89,ATL,53
90,ATL,53
91,ATL,54
92,ATL,55
93,ATL,56
94,ATL,56
95,ATL,57
96,ATL,58
97,ATL,58
98,ATL,58
99,ATL,59
100,ATL,59
101,ATL,60
102,ATL,61
103,ATL,62
104,ATL,63
105,ATL,63
106,ATL,63
107,ATL,64
108,ATL,64
109,ATL,64
110,ATL,64
